school name,school county,alat,alon,grades,schoolScore
SCIENCE HALL ELEMENTARY,HAYS COUNTY,30.004646,-97.812064,F,0.0
BARTON HILLS ELEMENTARY,TRAVIS COUNTY,30.259251000000003,-97.777874,A,96.67
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.114624,-97.74716,0,0.0
POPHAM ELEMENTARY,TRAVIS COUNTY,30.122722999999997,-97.634108,D-,8.33
MILLS ELEMENTARY,TRAVIS COUNTY,30.205664000000002,-97.879604,A,96.67
STEINER RANCH ELEMENTARY,TRAVIS COUNTY,30.353085999999998,-97.86689,A-,83.34
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.325785999999997,-97.876625,A+,100.0
MILLS ELEMENTARY,TRAVIS COUNTY,30.214609999999997,-97.886193,A,96.67
SERENE HILLS ELEMENTARY,TRAVIS COUNTY,30.325754999999997,-97.994804,A-,83.34
POPHAM ELEMENTARY,TRAVIS COUNTY,30.123905999999998,-97.62603299999999,D-,8.33
BEE CAVE ELEMENTARY,TRAVIS COUNTY,30.331119,-97.957617,B+,75.0
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.324803000000003,-97.527825,D-,8.33
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.386474,-97.926456,B,66.67
KIPP AUSTIN OBRAS,TRAVIS COUNTY,30.20911,-97.764158,C-,33.33
WIELAND ELEMENTARY,TRAVIS COUNTY,30.419905,-97.64090300000001,C+,50.0
CANYON CREEK ELEMENTARY,TRAVIS COUNTY,30.425456,-97.81349399999999,A+,100.0
DEARING ELEMENTARY,WILLIAMSON COUNTY,30.490391,-97.595263,0,0.0
SIMS ELEMENTARY,TRAVIS COUNTY,30.283283,-97.687585,D-,8.33
GATTIS ELEMENTARY,WILLIAMSON COUNTY,30.502751,-97.637568,C+,50.0
WESTSIDE ELEMENTARY,WILLIAMSON COUNTY,30.496567,-97.881151,B-,58.33
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.063019,-97.73141899999999,0,0.0
LAGO VISTA ELEMENTARY,TRAVIS COUNTY,30.428998999999997,-97.932594,0,0.0
MILLS ELEMENTARY,TRAVIS COUNTY,30.239307,-97.89713499999999,A,96.67
METZ ELEMENTARY,TRAVIS COUNTY,30.244057,-97.730747,F,0.0
BRIDGE POINT ELEMENTARY,TRAVIS COUNTY,30.331934999999998,-97.802044,A+,100.0
OAK SPRINGS ELEMENTARY,TRAVIS COUNTY,30.268956,-97.702791,D-,8.33
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.293090999999997,-97.89694399999999,A+,100.0
PATSY SOMMER ELEMENTARY,WILLIAMSON COUNTY,30.503892999999998,-97.744119,A+,100.0
DESSAU ELEMENTARY,TRAVIS COUNTY,30.392715000000003,-97.616927,C-,33.33
FOREST TRAIL ELEMENTARY,TRAVIS COUNTY,30.323185,-97.82643,A+,100.0
PATTON ELEMENTARY,TRAVIS COUNTY,30.227309,-97.8398,B,66.67
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.338383,-97.960885,A-,83.34
MILLS ELEMENTARY,TRAVIS COUNTY,30.207399,-97.88743199999999,A,96.67
LAUREL MOUNTAIN ELEMENTARY,TRAVIS COUNTY,30.418430999999998,-97.78227,A+,100.0
OAK MEADOWS ELEMENTARY,TRAVIS COUNTY,30.286112,-97.637958,F,0.0
DELCO PRI,TRAVIS COUNTY,30.399871,-97.64836899999999,0,0.0
REILLY ELEMENTARY,TRAVIS COUNTY,30.320587,-97.727559,B-,58.33
PATTON ELEMENTARY,TRAVIS COUNTY,30.225708,-97.839439,B,66.67
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.068841,-97.702276,0,0.0
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.306245,-97.86272199999999,A+,100.0
WIDEN ELEMENTARY,TRAVIS COUNTY,30.195419,-97.739438,F,0.0
BLUEBONNET ELEMENTARY,BASTROP COUNTY,30.164534999999997,-97.50311500000001,C,41.67
REILLY ELEMENTARY,TRAVIS COUNTY,30.331941999999998,-97.714906,B-,58.33
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.329303999999997,-97.875112,A+,100.0
LAUREL MOUNTAIN ELEMENTARY,TRAVIS COUNTY,30.409143,-97.771672,A+,100.0
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.320664,-97.509991,D-,8.33
THE EAST AUSTIN COLLEGE PREP AT SOUTHWEST KEY,TRAVIS COUNTY,30.264744,-97.689228,C+,50.0
NORTHWEST ELEMENTARY,TRAVIS COUNTY,30.432895000000002,-97.686796,D-,8.33
LAKE POINTE ELEMENTARY,TRAVIS COUNTY,30.316096,-97.929015,A+,100.0
MAPLEWOOD ELEMENTARY,TRAVIS COUNTY,30.293769,-97.704062,C-,33.33
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.107131,-97.72301,0,0.0
SMITH ELEMENTARY,TRAVIS COUNTY,30.172721000000003,-97.698611,D+,25.0
LINDER ELEMENTARY,TRAVIS COUNTY,30.222554,-97.728352,D-,8.33
