school name,school county,alat,alon
OAK HILL ELEMENTARY,TRAVIS COUNTY,30.239676,-97.893721
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.285748,-97.510038
LIVE OAK ELEMENTARY,WILLIAMSON COUNTY,30.447005,-97.780212
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.369046,-97.986786
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.284588,-97.886686
BRYKER WOODS ELEMENTARY,TRAVIS COUNTY,30.31069,-97.74663
LAKE POINTE ELEMENTARY,TRAVIS COUNTY,30.258988,-97.913106
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.301538,-97.522507
STEINER RANCH ELEMENTARY,TRAVIS COUNTY,30.348409,-97.856336
AUSTIN DISCOVERY SCHOOL,TRAVIS COUNTY,30.263544,-97.629863
MANOR ELEMENTARY,TRAVIS COUNTY,30.332761,-97.564042
PFLUGERVILLE ELEMENTARY,TRAVIS COUNTY,30.423253,-97.60956
CLAYTON ELEMENTARY,TRAVIS COUNTY,30.213903,-97.923649
MENCHACA ELEMENTARY,TRAVIS COUNTY,30.145808,-97.81976
POND SPRINGS ELEMENTARY,WILLIAMSON COUNTY,30.442598,-97.757776
BLACKSHEAR ELEMENTARY,TRAVIS COUNTY,30.272583,-97.718949
PRESIDENTIAL MEADOWS ELEMENTARY,TRAVIS COUNTY,30.3433,-97.5407
KATHY CARAWAY ELEMENTARY,TRAVIS COUNTY,30.432088,-97.769406
OAK HILL ELEMENTARY,TRAVIS COUNTY,30.254194,-97.904531
ODOM ELEMENTARY,TRAVIS COUNTY,30.195274,-97.792332
KATHY CARAWAY ELEMENTARY,TRAVIS COUNTY,30.429054,-97.773504
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.375757,-97.938621
RIVER RIDGE ELEMENTARY,TRAVIS COUNTY,30.339773,-97.905785
HARRIS ELEMENTARY,TRAVIS COUNTY,30.312278,-97.698539
VIC ROBERTSON ELEMENTARY,WILLIAMSON COUNTY,30.521855,-97.668681
BLOCK HOUSE CREEK ELEMENTARY,WILLIAMSON COUNTY,30.530927,-97.821479
REILLY ELEMENTARY,TRAVIS COUNTY,30.334062,-97.724205
CLAYTON ELEMENTARY,TRAVIS COUNTY,30.244892,-97.935737
BARANOFF ELEMENTARY,TRAVIS COUNTY,30.148194,-97.863955
HILL ELEMENTARY,TRAVIS COUNTY,30.380473,-97.746955
SMITH ELEMENTARY,TRAVIS COUNTY,30.204216,-97.684618
OAK HILL ELEMENTARY,TRAVIS COUNTY,30.221878,-97.862339
CASIS ELEMENTARY,TRAVIS COUNTY,30.298542,-97.772515
CYPRESS ELEMENTARY,WILLIAMSON COUNTY,30.450933,-97.842772
MILLS ELEMENTARY,TRAVIS COUNTY,30.247249,-97.925084
LAUREL MOUNTAIN ELEMENTARY,TRAVIS COUNTY,30.384854,-97.798319
GULLETT ELEMENTARY,TRAVIS COUNTY,30.335728,-97.750482
BRENTWOOD ELEMENTARY,TRAVIS COUNTY,30.34519,-97.73212
CASIS ELEMENTARY,TRAVIS COUNTY,30.301306,-97.774614
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.10387,-97.728848
DEL VALLE ELEMENTARY,TRAVIS COUNTY,30.129693,-97.567764
KATHY CARAWAY ELEMENTARY,TRAVIS COUNTY,30.427965,-97.768353
SPRINGHILL ELEMENTARY,TRAVIS COUNTY,30.442808,-97.649967
BLANTON ELEMENTARY,TRAVIS COUNTY,30.304339,-97.686332
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.316186,-97.897161
GOVALLE ELEMENTARY,TRAVIS COUNTY,30.263766,-97.703605
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.309186,-97.899049
POPHAM ELEMENTARY,TRAVIS COUNTY,30.124859,-97.597818
EANES ELEMENTARY,TRAVIS COUNTY,30.293401,-97.808594
JOLLYVILLE ELEMENTARY,WILLIAMSON COUNTY,30.440803,-97.749749
