house #,street,zipcode,lat,lon,neighborhood
9036,North Lamar Boulevard,78758,30.360306,-97.698868,Fiskville
4003,Mesa Cove,78731,30.352076,-97.770488,Northwest Hills
3505,Alpine Circle,78704,30.2294905,-97.762228997246,Dawson
4817,Old Spicewood Springs Road,78759,30.377412,-97.765214120915,North Cat Mountain
301,East Longspur Boulevard,78753,30.364731,-97.6887291383495,North Lamar
3800,Barton Creek Boulevard,78735,30.2821845,-97.8817823307292,NA
9508,Jollyville Road,78759,30.387574,-97.746364,NA
2356,Cromwell Circle,78741,30.2274066660682,-97.7192529990511,East Riverside - Oltorf
616,Logans Lane,78746,30.307406,-97.795187,Bee Cliffs
15,Rob Roy Road,78746,30.309614,-97.8335322169811,NA
5108,Shaw Lane,78744,30.18329,-97.70841,Martinshore
2203,Thornton Road,78704,30.2457105,-97.770814,Zilker
8425,Asmara Drive,78750,30.392453,-97.806371,Angel Pass
9020,Bluff Springs Road,78747,30.159776,-97.769798,Bluff Springs Estates
201,Edwin Lane,78742,30.2556205,-97.648918832458,NA
2900,Susquehanna Lane,78723,30.317569,-97.66913805791,University Hills
8501,Lava Hill Road,78744,30.155275,-97.700919,NA
6201,Bolm Road,78721,30.25459,-97.6843335806541,Johnston Terrace
2721,Lost Creek Boulevard,78735,30.2736365059194,-97.8449152653499,NA
3703,Turkey Creek Drive,78730,30.351635,-97.839782,NA
7443,Bee Caves Road,78746,30.308211551643,-97.8433618515875,NA
704,Knollwood Drive,78746,30.2953975,-97.8353944904891,NA
1204,West 44th Street,78756,30.313502,-97.7411845632609,Rosedale
2100,Ringtail Ridge,78746,30.2762915,-97.8346824132622,NA
6906,Arroyo Seco,78757,30.341817,-97.728124,Abercrombie
8315 1/2,Steamline Circle,78745,30.188177,-97.812966,Waterloo
2712,Bartons Bluff Lane,78746,30.254877,-97.7956526005886,NA
2411,Campden Drive,78745,30.2062835,-97.8111125,Whispering Oaks
7728,FM 1625,78744,30.1471700357143,-97.6987338214286,NA
1610,Dungan Lane,78754,30.3514315,-97.6723385,Cameron Industrial
4208,Kings Court,78724,30.261767,-97.6307855101149,Imperial Valley
8297,Decker Lane,78724,30.3091540141072,-97.6165049905495,Daffan Gin Park
10810,North Lamar Boulevard,78753,30.3772145,-97.6894386905488,Oak Ridge
610,East 48th Street,78751,30.309717,-97.7201637819549,North Loop
2105,Kemper Cove,78746,30.2763585,-97.8369918065711,NA
1300 1/2,North Interstate Highway 35 Service Road,78701,30.2727305,-97.7329196463927,Medical District
1713,Taylor Gaines Street,78741,30.2401305,-97.7325033026347,Lakeshore
4901,China Garden Drive,78730,30.374818,-97.841514,River Place
5001,Convict Hill Road,78749,30.217078,-97.8534452142857,Sunset
1322 1/2,Airport Commerce Drive,78741,30.223821,-97.685274,Montopolis
7700,Pleasant Meadow Circle,78731,30.363789,-97.7555231929293,Mesa Forest
1001,Ed Bluestein Boulevard,78725,30.252767,-97.676864,Johnston Terrace
